integrantes,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
JORGE ENRIQUE LOPEZ GALAN,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000154164,4,2004-01-01, Actual,Doctorado,Investigador Senior (IS),13,3,0,0,0,36
LUZ MARINA FLOREZ PARDO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000002410,4,2004-01-01, Actual,Doctorado,Investigador Senior (IS),19,2,0,0,0,28
ALEJANDRA PALOMINO MARTINEZ,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001347361,4,2009-09-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,0
ANDREA GONZALEZ CORDOBA,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001398415,4,2009-04-01, Actual,Maestría/Magister,Sin clasificar,2,0,0,0,0,0
ANGELA SOFIA PARRA PAZ,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001363616,4,2009-07-01, Actual,Maestría/Magister,Investigador Junior (IJ),1,0,0,0,0,0
CAMILO ERNESTO CABRERA CAMACHO,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001349769,4,2009-07-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
CATALINA BERNAL LOPEZ,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001426254,4,2012-06-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,0
CESAR AUGUSTO ESTRADA FIGUEROA,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000689670,4,2008-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
DIANA MARCELA ORDONEZ GARCES,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001013505,4,2009-01-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,2
DIEGO ARMANDO MONTENEGRO APRAEZ,Integrante,3; 40; 3; 40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001462210,4; 224,2012-02-01; 2021-08-01, Actual,Maestría/Magister,Sin clasificar,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0
